"id,name,description,elevators,coord"
"1,Dana Commons,description,yes,""543, 755, 573, 785"""
"2,Goddard Library,description,yes,""1135, 688, 1165, 718"""
"3,ASEC,description,yes,""1298, 1058, 1328, 1088"""
"4,Estabrook Hall,description,yes,""1453, 616, 1483, 646"""
"5,Blackstone Residence,description,yes,""236, 950, 266, 980"""
"6,Maywood Residence,description,yes,""604, 832 , 634, 862"""
"7,Higgins University Center,description,yes,""982, 1021, 1002, 1051"""
"8,Sackler Sciences Building,description,yes,""859, 903, 889, 933"""
"9,Math/Physics Building,description,yes,""715, 913, 745, 943"""
"10,Dodd Residence,description,no,""1156, 549, 1186"""
"11,Hughs Residence,description,no,""764, 679, 794, 709"""
"12,Dana Residence,description,no,""604, 678, 634, 708 """
